Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity,Concentration area(s),How would you describe your political affiliation?,"Are you a ""legacy"" student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,1. Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University? ,2.  Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job representing and addressing the concerns of the undergraduate student body?,3. How informed do you feel on the initiatives of the Undergraduate Council of Students and their implementations?,4. Do you agree or disagree that the University should build a new performing arts center on the site of the current Urban Environmental Lab?,5. Did you alter your social media accounts before applying to college? (Circle all that apply),6. How many times have you used Brown‰Ûªs Emergency Medical Services (EMS) in the past academic school year for drug- or alcohol-related instances?,7. Have you ever decided not to call EMS for yourself or a peer for a fear of University or other repercussions?,"8. How often do you participate in religious activities at Brown (church, fellowships, religious associations)?","9. Before coming to Brown, how often did you participate in religious activities?",10. Do you approve or disapprove of the way the University is handling its budget?,"11. If you were in a situation that fell under the jurisdiction of the Title IX office, which handles cases of sexual and gender-based harassment, how comfortable would you feel going to the office for assistance and support?","12. Do you plan to pursue a career in visual, performing or literary arts immediately after graduation?",13.  Have you gone on a new or different birth control recently in response to the political climate?
Male,Junior,None,No,Bisexual,White,Life sciences,Republican,,,No opinion,Somewhat disapprove,Somewhat informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Once or twice a semester,Once a week,No opinion,Somewhat comfortable,No,This question does not apply to me
Female,,Just loans,No,Heterosexual,Hispanic,Humanities/arts,Democrat,No,No,Somewhat approve,No opinion,Not at all informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Somewhat uncomfortable,No,No
Male,Sophomore,"Grants, covering all costs",No,Bisexual,Asian,"Humanities/arts, Life sciences, Social sciences",Other,No,Yes,Somewhat approve,No opinion,Somewhat informed,Somewhat disagree,Deleted certain posts on account,1 time,No,Never,Once or twice a month,Somewhat disapprove,No opinion,No,This question does not apply to me
Female,Sophomore,"Grants, covering all costs",,Heterosexual,Hispanic,Humanities/arts,Democrat,No,Yes,No opinion,Somewhat approve,Somewhat informed,Strongly agree,Did not make any changes,3 times,No,Never,Once or twice a month,Strongly disapprove,Somewhat uncomfortable,Unsure,No
Female,Senior,Grants and loans,No,Heterosexual,Hispanic,Social sciences,Democrat,Yes,Yes,Somewhat approve,Somewhat approve,No opinion,Somewhat agree,Did not make any changes,5+ times,No,Never,Once a year,Somewhat approve,Somewhat uncomfortable,No,No
Female,Junior,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Republican,No,No,Somewhat approve,Somewhat approve,No opinion,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Somewhat uncomfortable,No,No
Male,Senior,Grants and loans,No,Heterosexual,Asian,"Physical sciences (incl. math, CS), Social sciences",Democrat,No,Yes,Somewhat approve,Somewhat disapprove,Somewhat uninformed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat approve,Somewhat comfortable,No,This question does not apply to me
Male,First-year,Grants and loans,Yes,Heterosexual,Other,Social sciences,Other,No,Yes,Somewhat approve,No opinion,No opinion,Strongly agree,Did not make any changes,I have not used EMS in the past year,No,Never,Once or twice a semester,No opinion,No opinion,No,No
Female,Junior,Grants and loans,No,Heterosexual,Hispanic,Social sciences,Democrat,No,Yes,No opinion,Somewhat approve,Somewhat informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Once a year,Never,Strongly disapprove,,Yes,No
Male,Sophomore,"Grants, covering all costs",No,Heterosexual,White,"Physical sciences (incl. math, CS)",Other,Yes,No,Somewhat approve,Somewhat approve,Somewhat informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Once or twice a month,Once a week,Somewhat disapprove,Somewhat comfortable,Unsure,No
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Hispanic,"Physical sciences (incl. math, CS)",Democrat,No,No,No opinion,No opinion,Not at all informed,No opinion,Deleted certain posts on account,I have not used EMS in the past year,Yes,Never,Once a week,Somewhat approve,Somewhat comfortable,No,"I have gone on a new or different birth control, but not in response to the political climate"
Female,Sophomore,None,No,Bisexual,White,Humanities/arts,Democrat,No,No,Somewhat approve,Strongly approve,Somewhat informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Once a week,Once or twice a month,Strongly approve,Somewhat comfortable,No,No
Male,First-year,None,No,Gay,"Hispanic, Black",Social sciences,Democrat,Yes,No,No opinion,Somewhat approve,Somewhat informed,Somewhat disagree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Once or twice a month,Somewhat disapprove,Somewhat uncomfortable,No,This question does not apply to me
Male,Sophomore,"Grants, covering all costs",No,Gay,Hispanic,"Physical sciences (incl. math, CS)",Democrat,No,Yes,No opinion,Somewhat approve,Somewhat uninformed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,No opinion,No opinion,No,This question does not apply to me
Female,First-year,None,Yes,Heterosexual,,Social sciences,Democrat,No,No,No opinion,Somewhat disapprove,Not at all informed,Somewhat agree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Never,No opinion,Very comfortable,No,Yes
Male,Sophomore,None,No,Heterosexual,White,"Humanities/arts, Social sciences",Republican,No,No,Somewhat approve,Somewhat disapprove,Somewhat informed,Strongly agree,Did not make any changes,I have not used EMS in the past year,No,Once a week,Once or twice a month,Somewhat approve,Somewhat comfortable,Unsure,This question does not apply to me
Female,First-year,"Grants, covering some costs",No,Heterosexual,White,Humanities/arts,Independent,No,No,Strongly approve,Somewhat approve,Somewhat uninformed,No opinion,,,,,,,,,
Male,Senior,None,No,Gay,White,Humanities/arts,Democrat,No,No,Somewhat disapprove,Somewhat disapprove,Somewhat informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,Somewhat disapprove,Somewhat comfortable,Unsure,No
Female,Senior,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Democrat,No,No,Strongly approve,Strongly approve,Somewhat informed,Strongly agree,Other,I have not used EMS in the past year,No,Never,Never,Somewhat approve,Somewhat comfortable,No,No
Female,Junior,"Grants, covering all costs",No,Bisexual,"White, Asian","Physical sciences (incl. math, CS)",Democrat,No,Yes,Somewhat approve,Strongly approve,Somewhat informed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat uncomfortable,No,No
Female,Sophomore,Grants and loans,No,Bisexual,White,"Life sciences, Social sciences",Democrat,No,Yes,Somewhat approve,Strongly approve,Somewhat informed,Strongly disagree,Did not make any changes,1 time,No,Once or twice a month,Once or twice a month,Somewhat disapprove,Somewhat comfortable,No,No
Female,Sophomore,Grants and loans,No,Bisexual,"Hispanic, Black","Physical sciences (incl. math, CS)",Democrat,No,Yes,Somewhat disapprove,Somewhat approve,Not at all informed,No opinion,Did not make any changes,1 time,No,Never,Never,Strongly disapprove,Very comfortable,No,No
Female,Senior,"Grants, covering all costs",No,Heterosexual,Hispanic,Social sciences,Democrat,No,Yes,Somewhat approve,Strongly approve,Somewhat informed,Somewhat agree,Did not make any changes,1 time,No,Never,Once or twice a semester,No opinion,Somewhat comfortable,No,No
Male,Sophomore,None,No,Heterosexual,Other,"Physical sciences (incl. math, CS)",Other,No,No,Somewhat disapprove,No opinion,No opinion,No opinion,Did not make any changes,1 time,No,Never,Never,Somewhat disapprove,Very comfortable,Unsure,This question does not apply to me
Male,Junior,None,No,Heterosexual,Asian,"Humanities/arts, Social sciences",Other,No,No,No opinion,Somewhat disapprove,Somewhat uninformed,No opinion,Deleted certain posts on account,I have not used EMS in the past year,No,Once a year,Once a week,Somewhat disapprove,Somewhat uncomfortable,No,No
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,White,Social sciences,Independent,No,No,Somewhat approve,Strongly approve,Very informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,Somewhat disapprove,Very comfortable,No,This question does not apply to me
Male,Junior,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Democrat,No,No,Strongly approve,No opinion,No opinion,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat uncomfortable,No,This question does not apply to me
Female,Junior,Grants and loans,Yes,Other,White,Life sciences,Democrat,No,No,Strongly approve,Somewhat disapprove,Somewhat informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Very comfortable,No,No
Male,First-year,None,No,Heterosexual,"White, Hispanic","Physical sciences (incl. math, CS)",Republican,No,Yes,No opinion,Somewhat disapprove,Somewhat uninformed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,This question does not apply to me
Female,Junior,"Grants, covering all costs",No,Bisexual,Other,Life sciences,Democrat,No,Yes,Somewhat approve,Somewhat approve,Somewhat informed,Somewhat disagree,Deleted certain posts on account,I have not used EMS in the past year,No,Once a year,Once a year,Somewhat approve,Somewhat comfortable,Unsure,No
Female,First-year,Just loans,No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math, CS)",Democrat,No,No,No opinion,No opinion,Not at all informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,No
,Sophomore,"Grants, covering some costs",No,Other,White,"Humanities/arts, Social sciences",Other,No,No,Strongly disapprove,Somewhat approve,Very informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,Strongly disapprove,Very uncomfortable,No,This question does not apply to me
Male,First-year,None,No,Heterosexual,"White, Black",Social sciences,Independent,Yes,No,Somewhat disapprove,No opinion,Somewhat uninformed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,This question does not apply to me
Female,First-year,"Grants, covering some costs",No,Heterosexual,"White, Asian","Physical sciences (incl. math, CS)",Other,No,No,No opinion,No opinion,Somewhat informed,Somewhat disagree,Other,I have not used EMS in the past year,No,Never,Once a week,No opinion,No opinion,Unsure,This question does not apply to me
Male,First-year,"Grants, covering some costs",No,Heterosexual,"White, Asian","Physical sciences (incl. math, CS)",Independent,No,No,Somewhat disapprove,Somewhat disapprove,Somewhat uninformed,Somewhat disagree,Did not make any changes,1 time,No,Never,Never,Somewhat disapprove,No opinion,No,No
Male,First-year,Just loans,No,Heterosexual,Asian,Life sciences,Democrat,No,No,Strongly approve,No opinion,Not at all informed,No opinion,Did not make any changes,1 time,No,Once or twice a month,Once or twice a month,Somewhat disapprove,No opinion,No,No
Male,Sophomore,None,No,Heterosexual,"White, Asian","Physical sciences (incl. math, CS)",Democrat,No,No,No opinion,No opinion,Not at all informed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Very comfortable,Unsure,This question does not apply to me
Female,Sophomore,"Grants, covering all costs",Yes,Bisexual,Hispanic,"Life sciences, Social sciences",Democrat,No,Yes,Somewhat approve,Somewhat approve,Somewhat informed,Somewhat disagree,Changed profile name on account,I have not used EMS in the past year,No,Once a year,Once a year,Somewhat disapprove,Somewhat comfortable,No,No
Male,Sophomore,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Independent,No,No,Somewhat disapprove,No opinion,Somewhat uninformed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,No opinion,No,No
Male,Senior,"Grants, covering some costs",No,Heterosexual,Hispanic,"Physical sciences (incl. math, CS)",Democrat,No,No,Strongly approve,Somewhat approve,Somewhat informed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Once or twice a semester,Once a week,Somewhat approve,Somewhat comfortable,No,No
Male,Senior,"Grants, covering some costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Democrat,No,Yes,No opinion,No opinion,Not at all informed,No opinion,Did not make any changes,I have not used EMS in the past year,Yes,Never,Never,No opinion,No opinion,,No
Female,Senior,None,No,Bisexual,Hispanic,"Physical sciences (incl. math, CS)",Democrat,No,Yes,Somewhat approve,No opinion,Somewhat informed,Somewhat disagree,Other,I have not used EMS in the past year,No,Once a year,Once a week,Somewhat approve,Very comfortable,No,"I have gone on a new or different birth control, but not in response to the political climate"
Female,First-year,"Grants, covering some costs",No,Heterosexual,Asian,Life sciences,Democrat,Yes,No,Somewhat approve,Strongly approve,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,Yes,Once or twice a semester,Once or twice a month,Somewhat disapprove,Somewhat comfortable,No,This question does not apply to me
Female,Sophomore,None,No,Heterosexual,White,Social sciences,Democrat,No,No,Somewhat approve,Strongly approve,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,No
Female,Sophomore,None,No,Heterosexual,Asian,Life sciences,Democrat,No,No,Somewhat approve,No opinion,Not at all informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,No
Male,Junior,None,No,Heterosexual,Hispanic,"Physical sciences (incl. math, CS)",Other,No,Yes,Strongly approve,Strongly approve,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat approve,Very comfortable,No,This question does not apply to me
Male,Junior,None,No,Heterosexual,Other,"Humanities/arts, Social sciences",Democrat,No,No,Somewhat approve,Somewhat approve,Somewhat informed,No opinion,Changed profile name on account,I have not used EMS in the past year,No,Once a week,Once a year,No opinion,Somewhat comfortable,No,No
Female,Sophomore,Grants and loans,No,Other,Hispanic,Humanities/arts,Democrat,No,No,No opinion,No opinion,Somewhat informed,Strongly disagree,Did not make any changes,2 times,Yes,Never,Once a week,Somewhat disapprove,Very uncomfortable,Yes,No
Male,Senior,"Grants, covering some costs",No,Bisexual,"White, Hispanic","Humanities/arts, Social sciences",Democrat,No,No,No opinion,No opinion,Somewhat informed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat uncomfortable,No,This question does not apply to me
Female,Sophomore,None,No,Heterosexual,Asian,Social sciences,Other,No,No,Somewhat approve,Somewhat approve,Somewhat informed,Strongly agree,Changed profile name on account,I have not used EMS in the past year,No,Never,Never,No opinion,Very comfortable,Unsure,No
